 Время          Pitch          Roll           X             Y              Yaw             Z		 Волнограф  
 19.600        -0.5380        -8.2516        -103.4600      -18.2150       -0.8905         4.4400        -39.1280       
 19.650        -0.3630        -8.7016        -88.4550       -17.5900       -0.9530         7.8150        -49.9410       
 19.700        -0.1380        -9.1516        -65.3300       -17.0900       -1.0155         12.8150       -59.5280       
 19.750        -0.0255        -9.3517        -49.5800       -16.9650       -1.0530         16.1900       -68.5570       
 19.800         0.0495        -9.4267        -25.9550       -17.0900       -1.0780         21.9400       -76.3600       
 19.850         0.0870        -9.2516        -1.9550        -17.7150       -1.0780         26.9400       -82.3800       
 19.900         0.1120        -9.1516         6.1700        -17.9650       -1.0780         27.9400       -85.5010       
 19.950         0.0495        -8.6266         30.0450       -19.3400       -1.0780         33.0650       -85.2780       
 20.000        -0.0255        -7.8891         53.4200       -20.8400       -1.0780         37.1900       -80.9310       
 20.050        -0.1630        -6.9267         75.9200       -22.5900       -1.0780         40.6900       -73.7960       
 20.100        -0.2755        -6.1767         89.9200       -23.8400       -1.0905         42.9400       -63.9870       
 20.150        -0.3755        -5.3516         103.0400      -25.0900       -1.0905         44.5650       -51.9470       
 20.200        -0.4630        -4.0391         121.0400      -26.9650       -1.1030         45.1900       -40.0200       
 20.250        -0.5005        -3.0641         131.4200      -28.3400       -1.1155         45.1900       -28.4260       
 20.300        -0.5005        -2.0891         140.6700      -29.5900       -1.1155         44.3150       -17.6130       
 20.350        -0.4005        -0.1016         154.4200      -32.0900       -1.1280         40.9400       -8.5836        
 20.400        -0.2880         0.9108         158.7900      -33.5900       -1.1280         38.1900       -1.4492        
 20.450        -0.1130         1.8858         161.6700      -34.8400       -1.1280         34.3150        4.6820        
 20.500         0.1995         3.3233         162.7900      -36.8400       -1.0905         27.1900        9.8098        
 20.550         0.4245         4.2234         161.0400      -38.2150       -1.0655         22.3150        14.2690       
 20.600         0.7870         5.4983         155.1700      -40.2150       -1.0030         14.5650        17.9470       
 20.650         1.0495         6.2733         149.0400      -41.4650       -0.9405         8.5650         19.7310       
 20.700         1.4245         7.2983         137.0400      -42.9650       -0.8280        -0.5600         20.7340       
 20.750         1.6620         7.9109         127.2900      -43.9650       -0.7405        -6.6850         23.1870       
 20.800         1.9495         8.6983         110.1700      -45.0900       -0.5780        -15.4350        26.6430       
 20.850         2.0870         9.1234         97.2950       -45.8400       -0.4530        -20.6850        29.9870       
 20.900         2.2370         9.6234         76.2950       -46.4650       -0.2530        -28.0600        34.1110       
 20.950         2.2620         9.8358         61.1700       -46.8400       -0.1155        -31.9350        37.2330       
 21.000         2.2245         10.0360        37.2950       -46.9650        0.0970        -37.0600        39.4620       
 21.050         2.0745         10.0110        12.4200       -46.8400        0.3220        -40.5600        41.5800       
 21.100         1.9245         9.9108        -4.5800        -46.5900        0.4595        -42.6850        43.0290       
 21.150         1.7245         9.7108        -21.9550       -46.2150        0.6095        -44.0600        43.4750       
 21.200         1.3495         9.2484        -48.3300       -45.3400        0.7970        -45.1850        43.4750       
 21.250         1.0495         8.8608        -65.8300       -44.8400        0.8970        -45.3100        42.0260       
 21.300         0.5495         8.0733        -91.5800       -43.5900        1.0220        -44.4350        40.9110       
 21.350         0.0120         7.0858        -115.8300      -42.0900        1.0845        -42.6850        40.1310       
 21.400        -0.3380         6.3484        -130.8300      -40.9650        1.1095        -41.4350        41.1340       
 21.450        -0.6630         5.5483        -144.5800      -39.8400        1.0970        -40.0600        42.3610       
 21.500        -1.1380         4.1983        -162.7100      -37.7150        1.0470        -37.1850        43.8100       
 21.550        -1.5380         2.7358        -177.0800      -35.3400        0.9345        -33.8100        43.5870       
 21.600        -1.7255         1.7109        -184.3300      -33.7150        0.8345        -31.8100        42.1380       
 21.650        -1.8880         0.6484        -189.5800      -31.9650        0.7220        -29.3100        40.2420       
 21.700        -1.9755        -0.9142        -193.0800      -29.3400        0.5345        -26.1850        37.0100       
 21.750        -1.9880        -1.9641        -192.9600      -27.5900        0.3845        -23.6850        33.8880       
 21.800        -1.8880        -3.4891        -188.5800      -25.0900        0.1720        -20.0600        29.6520       
 21.850        -1.7255        -4.9267        -179.8300      -22.5900       -0.0405        -15.4350        24.6360       
 21.900        -1.5380        -5.8141        -171.5800      -21.2150       -0.1905        -13.1850        17.6130       
 21.950        -1.3630        -6.6266        -161.8300      -19.8400       -0.3280        -10.0600        8.3606        
 22.000        -1.0755        -7.7016        -144.8300      -17.9650       -0.5155        -5.0600        -4.2361        
 22.050        -0.7630        -8.5766        -125.0800      -16.7150       -0.6655        -0.5600        -18.2820       
 22.100        -0.5755        -9.0266        -111.2100      -15.9650       -0.7530         2.8150        -32.1050       
 22.150        -0.4130        -9.3766        -96.7050       -15.5900       -0.8155         6.5650        -46.0390       
 22.200        -0.2005        -9.7267        -74.2050       -15.2150       -0.8905         12.3150       -57.2980       
 22.250        -0.0755        -9.8017        -58.7050       -15.4650       -0.9155         15.9400       -67.6650       
 22.300         0.0495        -9.7141        -35.3300       -16.0900       -0.9530         21.3150       -76.0260       
 22.350         0.1370        -9.3766        -11.4550       -17.2150       -0.9530         25.9400       -83.1600       
 22.400         0.1245        -9.0016         4.0450        -17.9650       -0.9530         29.6900       -88.1770       
 22.450         0.0995        -8.4892         19.7950       -19.2150       -0.9530         32.9400       -91.1870       
 22.500         0.0120        -7.5517         43.0450       -20.8400       -0.9530         37.6900       -89.6260       
 22.550        -0.0880        -6.4141         65.5450       -22.5900       -0.9405         41.0650       -83.0490       
 22.600        -0.1880        -5.5641         79.7950       -23.7150       -0.9405         43.0650       -73.2390       
 22.650        -0.2505        -4.6142         93.5450       -25.0900       -0.9530         43.8150       -60.7540       
 22.700        -0.3880        -3.1142         111.9200      -26.8400       -0.9530         45.5650       -47.2650       
 22.750        -0.4255        -2.0517         123.0400      -28.3400       -0.9655         45.1900       -34.2230       
 22.800        -0.4880        -0.4891         137.1700      -29.9650       -0.9905         44.5650       -22.4060       
 22.850        -0.4255         1.0983         148.0400      -31.9650       -1.0030         41.9400       -13.1540       
 22.900        -0.3255         2.0984         153.4200      -33.0900       -1.0030         39.0650       -5.5738        
 22.950        -0.1505         3.1233         157.2900      -34.4650       -1.0030         35.0650        0.1115        
 23.000         0.0870         4.4983         159.6700      -36.3400       -0.9905         29.6900        5.4623        
 23.050         0.4370         5.7859         158.1700      -38.2150       -0.9405         22.3150        10.0330       
 23.100         0.6870         6.5608         155.0400      -39.4650       -0.8905         17.1900        14.8260       
 23.150         0.9620         7.2608         150.0400      -40.5900       -0.8280         11.0650        18.9510       
 23.200         1.3370         8.1358         139.6700      -42.0900       -0.7280         2.4400         21.4030       
 23.250         1.5495         8.6108         130.6700      -42.9650       -0.6405        -2.9350         23.5210       
 23.300         1.8370         9.1983         114.6700      -44.2150       -0.4905        -11.3100        26.6430       
 23.350         2.0370         9.5733         96.1700       -45.2150       -0.3280        -19.5600        31.3240       
 23.400         2.1495         9.6859         82.7950       -45.4650       -0.2030        -25.0600        35.8950       
 23.450         2.1495         9.7484         68.2950       -45.8400       -0.0780        -28.8100        39.1280       
 23.500         2.1370         9.6859         45.5450       -46.0900        0.1095        -35.0600        41.8030       
 23.550         1.9995         9.4483         21.6700       -46.2150        0.2970        -39.4350        42.6950       
 23.600         1.8620         9.1983         5.1700        -45.9650        0.4220        -42.0600        42.2490       
 23.650         1.6745         8.8608        -11.4550       -45.7150        0.5470        -43.6850        41.1340       
 23.700         1.3245         8.2608        -37.0800       -45.0900        0.7220        -44.9350        40.0200       
 23.750         1.0370         7.7733        -54.2050       -44.4650        0.8220        -44.9350        39.7970       
 23.800         0.6120         6.9109        -79.4550       -43.4650        0.9470        -44.8100        39.3510       
 23.850         0.1370         5.9233        -103.7100      -42.0900        1.0470        -43.5600        39.3510       
 23.900        -0.1880         5.1983        -118.9600      -41.0900        1.0845        -41.9350        39.1280       
 23.950        -0.4630         4.4109        -132.8300      -39.9650        1.0970        -41.1850        40.4650       
 24.000        -0.9130         3.1484        -151.7100      -38.0900        1.0720        -38.1850        42.2490       
 24.050        -1.2880         1.7859        -167.2100      -35.7150        1.0095        -35.5600        43.8100       
 24.100        -1.5005         0.8359        -175.3300      -33.9650        0.9470        -33.3100        44.2560       
 24.150        -1.6505        -0.1016        -181.4600      -32.4650        0.8470        -31.4350        42.9180       
 24.200        -1.8255        -1.5766        -186.9600      -29.7150        0.6845        -27.9350        41.6920       
 24.250        -1.8755        -2.5141        -188.2100      -27.9650        0.5470        -25.4350        39.3510       
 24.300        -1.8505        -3.9016        -185.9600      -25.2150        0.3345        -21.8100        35.8950       
 24.350        -1.7505        -5.2016        -179.3300      -22.8400        0.1095        -17.4350        30.0980       
 24.400        -1.6130        -5.9892        -172.4600      -21.5900       -0.0405        -14.9350        23.4100       
 24.450        -1.4755        -6.7141        -164.2100      -20.2150       -0.1905        -11.4350        13.7110       
 24.500        -1.2005        -7.6642        -148.8300      -18.4650       -0.4030        -6.6850         1.4492        
 24.550        -1.0130        -8.1642        -137.0800      -17.8400       -0.5280        -3.0600        -11.9280       
 24.600        -0.7005        -8.7392        -117.7100      -17.2150       -0.6905         1.8150        -25.8620       
 24.650        -0.5130        -9.0392        -104.0800      -16.8400       -0.7780         5.4400        -38.9050       
 24.700        -0.2630        -9.2641        -82.7050       -16.8400       -0.8780         11.4400       -50.9440       
 24.750        -0.1130        -9.2766        -68.0800       -17.2150       -0.9280         15.1900       -61.6460       
 24.800         0.0495        -9.0891        -45.5800       -17.9650       -0.9780         20.6900       -70.0060       
 24.850         0.1620        -8.6391        -22.9550       -19.0900       -0.9905         25.6900       -77.3640       
 24.900         0.1620        -8.2516        -7.9550        -19.5900       -0.9780         29.8150       -83.8290       
 24.950         0.1870        -7.7142         7.1700        -20.7150       -0.9780         32.4400       -88.7340       
 25.000         0.1120        -6.7516         29.7950       -22.2150       -0.9655         36.8150       -90.7410       
 25.050         0.0120        -5.6016         52.0450       -23.5900       -0.9530         39.8150       -87.2850       
 25.100        -0.0880        -4.7516         66.1700       -24.5900       -0.9405         41.8150       -79.5930       
 25.150        -0.2005        -3.8141         79.7950       -25.8400       -0.9405         43.4400       -68.6690       
 25.200        -0.3505        -2.3266         98.7950       -27.5900       -0.9530         44.3150       -55.2920       
 25.250        -0.4130        -1.3141         110.5400      -28.7150       -0.9655         43.8150       -41.9150       
 25.300        -0.5255         0.1858         125.4200      -30.3400       -0.9905         43.6900       -28.7610       
 25.350        -0.5255         1.6983         137.6700      -32.0900       -1.0280         41.9400       -18.1700       
 25.400        -0.4380         2.6733         144.2900      -33.2150       -1.0405         39.1900       -9.4754        
 25.450        -0.3505         3.5859         149.0400      -34.3400       -1.0530         37.0650       -3.0098        
 25.500        -0.1130         4.8733         153.4200      -35.9650       -1.0405         32.0650        3.0098        
 25.550         0.2245         5.9608         154.1700      -37.4650       -1.0155         25.5650        8.3606        
 25.600         0.4870         6.6358         152.6700      -38.7150       -0.9905         20.5650        13.6000       
 25.650         0.7370         7.2358         149.1700      -39.9650       -0.9530         15.6900        18.5050       
 25.700         1.1245         7.9358         140.9200      -41.3400       -0.8780         7.5650         20.5110       
 25.750         1.3745         8.3109         133.5400      -42.3400       -0.8155         1.6900         22.7410       
 25.800         1.7245         8.6983         119.7900      -43.4650       -0.7030        -6.9350         24.9700       
 25.850         1.9995         8.9483         103.2900      -44.7150       -0.5655        -15.8100        28.7610       
 25.900         2.0995         8.9858         90.9200       -45.2150       -0.4655        -20.6850        33.5540       
 25.950         2.1745         8.9608         77.6700       -45.7150       -0.3655        -25.5600        37.9020       
 26.000         2.2120         8.7858         56.2950       -46.2150       -0.1780        -32.1850        40.8000       
 26.050         2.1245         8.4858         33.6700       -46.5900       -0.0155        -37.4350        42.1380       
 26.100         2.0120         8.1859         17.7950       -46.5900        0.1220        -40.1850        42.0260       
 26.150         1.8620         7.8233         1.7950        -46.3400        0.2470        -42.4350        40.2420       
 26.200         1.5620         7.1858        -22.8300       -45.8400        0.4345        -44.9350        38.9050       
 26.250         1.3120         6.7108        -39.4550       -45.4650        0.5470        -45.6850        37.5670       
 26.300         0.8745         5.8608        -64.4550       -44.4650        0.6970        -45.9350        36.8980       
 26.350         0.3620         4.9109        -88.9550       -43.0900        0.8220        -44.5600        35.7830       
 26.400         0.0370         4.2358        -104.2100      -42.0900        0.8720        -43.8100        36.1180       
 26.450        -0.2880         3.4983        -118.9600      -40.8400        0.9095        -42.1850        37.3440       
 26.500        -0.7755         2.3233        -138.7100      -38.8400        0.9345        -39.5600        39.1280       
 26.550        -1.1880         1.0983        -155.4600      -36.3400        0.9095        -36.9350        41.3570       
 26.600        -1.4380         0.2483        -164.8300      -34.5900        0.8595        -34.5600        44.3670       
 26.650        -1.6255        -0.5892        -172.3300      -32.8400        0.7845        -32.4350        46.1510       
 26.700        -1.8505        -1.8641        -180.0800      -30.0900        0.6470        -28.3100        45.8160       
 26.750        -1.9255        -2.7141        -182.8300      -28.2150        0.5345        -25.8100        44.8130       
 26.800        -1.9255        -3.9141        -182.9600      -25.5900        0.3345        -21.8100        41.4690       
 26.850        -1.8130        -5.0266        -178.5800      -23.2150        0.1095        -17.8100        36.8980       
 26.900        -1.7005        -5.6891        -173.4600      -21.9650       -0.0405        -14.5600        29.7640       
 26.950        -1.5505        -6.2891        -166.5800      -20.7150       -0.1905        -11.4350        21.2920       
 27.000        -1.2755        -7.0641        -153.0800      -19.0900       -0.4030        -6.8100         10.3670       
 27.050        -0.9380        -7.6642        -136.8300      -17.9650       -0.5905        -2.3100        -3.3442        
 27.100        -0.7505        -7.9642        -124.9600      -17.4650       -0.7030         1.3150        -17.8360       
 27.150        -0.5630        -8.1391        -112.2100      -17.3400       -0.7905         5.1900        -31.8820       
 27.200        -0.2630        -8.3017        -91.9550       -17.2150       -0.8905         9.6900        -44.0330       
 27.250        -0.1130        -8.2641        -78.0800       -17.4650       -0.9280         13.4400       -54.8460       
 27.300         0.0620        -8.0392        -56.4550       -18.2150       -0.9655         18.3150       -64.9900       
 27.350         0.1620        -7.6266        -34.5800       -19.2150       -0.9530         23.1900       -74.2420       
 27.400         0.1870        -7.2266        -20.0800       -19.9650       -0.9405         26.4400       -82.4920       
 27.450         0.1870        -6.7141        -5.3300        -21.0900       -0.9280         29.4400       -89.0690       
 27.500         0.0995        -5.8391         16.2950       -22.2150       -0.8780         34.1900       -92.9700       
 27.550         0.0120        -4.7392         38.1700       -23.8400       -0.8530         37.5650       -92.4130       
 27.600        -0.0755        -3.9641         52.4200       -24.7150       -0.8405         39.4400       -86.1700       
 27.650        -0.1880        -3.1016         66.0450       -25.8400       -0.8280         41.1900       -75.8030       
 27.700        -0.3505        -1.7641         85.4200       -27.2150       -0.8405         43.1900       -62.4260       
 27.750        -0.4380        -0.8517         97.4200       -28.0900       -0.8530         43.6900       -47.2650       
 27.800        -0.5255         0.5109         113.6700      -29.4650       -0.8905         43.5650       -32.4390       
 27.850        -0.5255         1.8733         127.4200      -30.8400       -0.9405         42.0650       -20.4000       
 27.900        -0.5005         2.7358         134.9200      -31.8400       -0.9780         40.6900       -11.0360       
 27.950        -0.4130         3.5608         140.9200      -32.8400       -1.0030         38.4400       -4.5705        
 28.000        -0.2130         4.6858         147.2900      -34.3400       -1.0405         34.6900       -0.1115        
 28.050        -0.0130         5.3484         149.5400      -35.3400       -1.0405         30.9400        4.3475        
 28.100         0.2995         6.2483         149.9200      -37.0900       -1.0280         24.6900        8.6951        
 28.150         0.5870         6.7358         148.1700      -37.9650       -1.0030         19.3150        13.8230       
 28.200         0.9620         7.3233         142.1700      -39.3400       -0.9405         11.9400        18.7280       
 28.250         1.2120         7.5984         136.4200      -40.2150       -0.8780         6.1900         22.0720       
 28.300         1.5995         7.9233         124.7900      -41.3400       -0.7655        -3.0600         24.5240       
 28.350         1.7620         8.0233         115.1700      -41.9650       -0.6780        -8.1850         27.5340       
 28.400         2.0120         8.0858         98.7950       -42.9650       -0.5155        -17.1850        32.6620       
 28.450         2.1120         8.0233         86.5450       -43.3400       -0.4030        -22.3100        37.1210       
 28.500         2.1870         7.8108         66.6700       -43.7150       -0.2155        -29.8100        40.3540       
 28.550         2.1370         7.4734         45.1700       -43.9650       -0.0155        -35.8100        42.2490       
 28.600         2.0620         7.1609         30.0450       -43.7150        0.0970        -39.1850        42.0260       
 28.650         1.9245         6.8358         14.6700       -43.7150        0.2345        -41.6850        40.5770       
 28.700         1.6620         6.2108        -8.9550        -43.0900        0.4345        -44.6850        37.6790       
 28.750         1.4245         5.7733        -25.2050       -42.5900        0.5595        -45.8100        35.1150       
 28.800         1.0245         5.0108        -49.5800       -41.5900        0.7220        -46.3100        32.4390       
 28.850         0.5870         4.1483        -73.5800       -40.3400        0.8720        -46.0600        31.2130       
 28.900         0.2745         3.5483        -89.0800       -39.4650        0.9345        -44.9350        30.9900       
 28.950        -0.0505         2.9109        -104.3300      -38.3400        0.9970        -43.0600        32.5510       
 29.000        -0.5005         1.8858        -124.9600      -36.3400        1.0470        -40.9350        35.4490       
 29.050        -0.9380         0.8108        -143.0800      -34.3400        1.0345        -37.4350        39.6850       
 29.100        -1.1755         0.0859        -153.2100      -32.9650        0.9970        -35.4350        45.0360       
 29.150        -1.3880        -0.6517        -162.0800      -31.3400        0.9470        -33.0600        49.6060       
 29.200        -1.6255        -1.7391        -171.9600      -29.0900        0.8220        -29.1850        51.8360       
 29.250        -1.7505        -2.4516        -176.3300      -27.5900        0.7220        -26.3100        51.3900       
 29.300        -1.8005        -3.4891        -178.9600      -25.3400        0.5345        -22.6850        48.3800       
 29.350        -1.7505        -4.4391        -177.3300      -23.2150        0.3220        -18.8100        42.6950       
 29.400        -1.7005        -5.0266        -174.0800      -21.8400        0.1845        -15.8100        35.0030       
 29.450        -1.5880        -5.5266        -168.8300      -20.7150        0.0345        -12.8100        25.4160       
 29.500        -1.3755        -6.2266        -157.7100      -18.9650       -0.1655        -8.5600         14.3800       
 29.550        -1.1005        -6.7392        -143.4600      -17.9650       -0.3655        -4.1850         1.1147        
 29.600        -0.9380        -6.9766        -132.7100      -17.4650       -0.4780        -0.5600        -13.4880       
 29.650        -0.7505        -7.1767        -120.8300      -16.9650       -0.5780         2.4400        -27.8690       
 29.700        -0.5005        -7.2891        -101.9600      -16.7150       -0.7030         7.6900        -41.0230       
 29.750        -0.3380        -7.2891        -88.5800       -16.7150       -0.7530         11.4400       -51.8360       
 29.800        -0.1255        -7.1142        -68.0800       -17.0900       -0.8155         16.4400       -60.9770       
 29.850         0.0120        -6.7641        -46.9550       -17.5900       -0.8405         21.8150       -69.4490       
 29.900         0.0870        -6.4141        -32.7050       -18.2150       -0.8405         25.0650       -77.8100       
 29.950         0.1245        -6.0016        -18.4550       -18.7150       -0.8280         28.5650       -84.6100       
 30.000         0.1495        -5.2392         2.9200        -19.7150       -0.8030         32.8150       -89.5140       
 30.050         0.0995        -4.3266         24.4200       -20.7150       -0.7905         36.6900       -91.6320       
 30.100         0.0620        -3.6266         38.5450       -21.4650       -0.7780         38.4400       -88.8460       
 30.150        -0.0380        -2.8891         52.2950       -22.3400       -0.7780         41.1900       -80.3730       
 30.200        -0.1630        -1.7016         72.1700       -23.3400       -0.7905         42.8150       -66.6620       
 30.250        -0.2505        -0.8891         84.5450       -24.0900       -0.8030         43.4400       -50.3870       
 30.300        -0.4005         0.3483         101.5400      -25.2150       -0.8530         44.3150       -34.8920       
 30.350        -0.4630         1.5733         116.4200      -26.4650       -0.9030         42.9400       -22.6290       
 30.400        -0.4880         2.3233         124.9200      -27.0900       -0.9280         42.0650       -13.9340       
 30.450        -0.4880         3.0733         131.9200      -27.8400       -0.9655         40.6900       -8.3606        
 30.500        -0.3630         4.1358         140.1700      -29.3400       -1.0155         36.8150       -3.9016        
 30.550        -0.1630         4.9734         144.9200      -30.2150       -1.0280         31.9400        0.6688        
 30.600         0.0495         5.5108         146.4200      -31.3400       -1.0280         27.0650        5.1278        
 30.650         0.2495         5.9233         146.0400      -32.0900       -1.0155         23.0650        9.5869        
 30.700         0.6370         6.4858         142.6700      -33.4650       -0.9655         14.8150        14.9380       
 30.750         0.8745         6.7234         138.2900      -34.2150       -0.9155         9.6900         19.7310       
 30.800         1.2495         6.9608         129.0400      -35.2150       -0.8155         1.0650         23.2980       
 30.850         1.5870         7.0858         116.4200      -36.3400       -0.7030        -7.4350         26.7540       
 30.900         1.7870         7.0858         106.5400      -36.8400       -0.6030        -13.5600        30.7670       
 30.950         1.9495         6.9983         95.5450       -37.2150       -0.4905        -19.3100        34.0000       
 31.000         2.0870         6.8108         77.4200       -38.0900       -0.3155        -26.4350        36.6750       
 31.050         2.1620         6.4983         57.4200       -38.2150       -0.1155        -33.4350        37.6790       
 31.100         2.1495         6.2358         43.4200       -38.3400        0.0095        -37.3100        38.5700       
 31.150         2.0620         5.9358         28.6700       -38.3400        0.1470        -40.0600        38.3470       
 31.200         1.8745         5.4233         6.0450        -38.0900        0.3595        -43.5600        37.9020       
 31.250         1.6995         5.0233        -9.4550        -37.8400        0.4845        -45.1850        36.4520       
 31.300         1.3495         4.3733        -33.0800       -37.2150        0.6720        -46.3100        35.2260       
 31.350         0.9245         3.6608        -56.8300       -36.4650        0.8220        -46.1850        33.6650       
 31.400         0.6370         3.1358        -72.3300       -35.7150        0.9095        -45.9350        32.8850       
 31.450         0.2995         2.5859        -87.7050       -34.8400        0.9845        -44.4350        32.8850       
 31.500        -0.1880         1.7359        -109.2100      -33.4650        1.0470        -42.3100        35.2260       
 31.550        -0.6630         0.8483        -128.5800      -32.0900        1.0720        -39.4350        38.4590       
 31.600        -0.9505         0.2358        -140.0800      -30.9650        1.0595        -37.4350        43.4750       
 31.650        -1.2255        -0.3767        -150.0800      -29.7150        1.0220        -34.9350        47.1540       
 31.700        -1.5380        -1.3141        -162.4600      -27.9650        0.9345        -31.3100        49.4950       
 31.750        -1.6755        -1.9516        -168.0800      -26.7150        0.8470        -29.3100        49.6060       
 31.800        -1.8255        -2.8516        -173.8300      -24.5900        0.6970        -25.0600        47.7110       
 31.850        -1.8630        -3.7141        -174.9600      -22.5900        0.5095        -20.6850        43.5870       
 31.900        -1.8005        -4.2516        -173.4600      -21.3400        0.3720        -18.3100        37.0100       
 31.950        -1.7255        -4.7266        -169.9600      -20.2150        0.2220        -15.3100        29.0950       
 32.000        -1.5505        -5.3516        -161.7100      -18.4650       -0.0155        -10.4350        19.9540       
 32.050        -1.2630        -5.8516        -149.8300      -16.9650       -0.2280        -6.3100         9.3639        
 32.100        -1.0755        -6.0891        -140.2100      -16.0900       -0.3655        -2.9350        -2.8984        
 32.150        -0.8630        -6.2766        -129.5800      -15.4650       -0.5030        -0.1850        -16.6100       
 32.200        -0.5630        -6.4016        -112.0800      -14.8400       -0.6655         4.9400        -29.5410       
 32.250        -0.3755        -6.4016        -99.7050       -14.5900       -0.7530         8.4400        -42.0260       
 32.300        -0.1505        -6.2891        -80.2050       -14.3400       -0.8530         13.9400       -52.2820       
 32.350         0.0495        -6.0391        -59.9550       -14.3400       -0.9030         18.8150       -61.4230       
 32.400         0.1370        -5.7516        -46.2050       -14.7150       -0.9280         22.0650       -69.7830       
 32.450         0.1745        -5.4016        -32.5800       -14.8400       -0.9280         26.0650       -78.4780       
 32.500         0.1995        -4.7766        -11.7050       -15.5900       -0.9155         30.8150       -85.6130       
 32.550         0.1620        -4.0266         8.9200        -16.2150       -0.8780         34.9400       -91.5210       
 32.600         0.0870        -3.4391         22.7950       -16.7150       -0.8655         37.9400       -93.0820       
 32.650         0.0245        -2.7766         36.5450       -17.4650       -0.8405         39.8150       -87.8420       
 32.700        -0.1505        -1.7891         56.4200       -18.0900       -0.8280         43.3150       -76.5830       
 32.750        -0.2880        -1.0641         69.0450       -18.7150       -0.8280         45.0650       -61.3110       
 32.800        -0.4130        -0.0017         87.0450       -19.5900       -0.8530         45.8150       -45.1470       
 32.850        -0.5505         1.0859         103.1700      -20.5900       -0.9030         46.0650       -31.2130       
 32.900        -0.6005         1.7608         112.4200      -21.0900       -0.9280         45.8150       -20.0660       
 32.950        -0.6005         2.4358         120.9200      -21.9650       -0.9655         44.4400       -11.9280       
 33.000        -0.5505         3.3359         131.0400      -22.9650       -1.0155         42.0650       -6.4656        
 33.050        -0.4130         3.8733         136.2900      -23.7150       -1.0405         38.6900       -2.0066        
 33.100        -0.1505         4.6108         141.2900      -25.2150       -1.0655         33.0650        2.1180        
 33.150         0.0495         5.0233         142.6700      -26.0900       -1.0655         28.6900        6.1311        
 33.200         0.2870         5.3484         142.5400      -27.0900       -1.0530         23.9400        11.3700       
 33.250         0.7120         5.7608         139.4200      -28.5900       -1.0030         15.0650        16.2750       
 33.300         1.1120         5.9983         132.6700      -29.8400       -0.9280         6.1900         19.5080       
 33.350         1.3870         6.0984         126.2900      -30.7150       -0.8655        -0.5600         22.2950       
 33.400         1.7245         6.1233         114.1700      -31.8400       -0.7280        -10.0600        25.7510       
 33.450         1.9120         6.1108         104.5400      -32.7150       -0.6405        -16.4350        30.2100       
 33.500         2.0620         6.0359         93.6700       -33.3400       -0.5280        -22.5600        34.6690       
 33.550         2.1870         5.8108         75.7950       -34.2150       -0.3405        -30.6850        37.5670       
 33.600         2.2370         5.5233         56.2950       -34.7150       -0.1405        -37.9350        39.4620       
 33.650         2.1495         5.2608         42.2950       -34.9650       -0.0155        -41.0600        40.3540       
 33.700         2.0745         5.0108         28.0450       -35.2150        0.1220        -44.4350        39.9080       
 33.750         1.8370         4.5733         5.6700        -35.3400        0.3220        -47.4350        39.3510       
 33.800         1.5245         4.0858        -17.0800       -35.2150        0.5220        -49.4350        38.1240       
 33.850         1.2370         3.7483        -32.7050       -35.0900        0.6470        -49.0600        36.3410       
 33.900         0.8120         3.1858        -55.8300       -34.7150        0.8095        -48.6850        33.5540       
 33.950         0.4995         2.7608        -71.2050       -34.0900        0.8970        -47.4350        32.2160       
 34.000         0.1745         2.3359        -86.0800       -33.4650        0.9720        -45.9350        32.6620       
 34.050        -0.3130         1.6484        -107.2100      -32.3400        1.0470        -42.8100        35.8950       
 34.100        -0.7630         0.8858        -126.0800      -30.7150        1.0845        -39.5600        40.4650       
 34.150        -1.0255         0.3733        -137.2100      -29.4650        1.0720        -37.1850        44.9240       
 34.200        -1.2880        -0.1266        -147.0800      -28.3400        1.0345        -34.3100        48.3800       
 34.250        -1.5755        -0.9266        -158.8300      -26.2150        0.9470        -30.3100        51.1670       
 34.300        -1.7380        -1.7016        -166.8300      -23.9650        0.8095        -26.4350        51.5010       
 34.350        -1.8005        -2.2141        -169.9600      -22.5900        0.6970        -23.6850        48.7150       
 34.400        -1.7755        -2.9516        -170.8300      -20.3400        0.4970        -20.0600        43.9210       
 34.450        -1.7255        -3.3891        -169.4600      -18.9650        0.3345        -17.0600        37.2330       
 34.500        -1.6255        -3.8016        -165.9600      -17.5900        0.1845        -13.9350        29.8750       
 34.550        -1.4255        -4.3391        -157.8300      -15.9650       -0.0530        -9.4350         19.9540       
 34.600        -1.1630        -4.7891        -146.2100      -14.3400       -0.2905        -4.8100         8.3606        
 34.650        -0.9755        -4.9892        -137.0800      -13.5900       -0.4280        -1.3100        -5.4623        
 34.700        -0.7755        -5.1641        -126.4600      -12.9650       -0.5655         1.6900        -20.8460       
 34.750        -0.5255        -5.3141        -109.5800      -12.3400       -0.7280         7.5650        -34.1110       
 34.800        -0.2880        -5.3391        -91.3300       -12.0900       -0.8530         13.3150       -46.1510       
 34.850        -0.1380        -5.3017        -78.5800       -11.9650       -0.9030         16.6900       -55.6260       
 34.900         0.0120        -5.1266        -58.8300       -12.0900       -0.9405         22.0650       -65.4360       
 34.950         0.0870        -4.9391        -45.4550       -12.2150       -0.9530         25.8150       -75.3570       
 35.000         0.0995        -4.6767        -32.3300       -12.4650       -0.9405         29.8150       -85.5010       
